window_start,NH4N_ugL,Ca_mgL,Mg_mgL,NO3N_ugL,K_mgL,site_ID
1988-01-01,27.533333333333335,3.42,2.1926666666666668,155.06666666666666,0.8066666666666666,BQ1
1988-03-04,22.125,3.084375,1.976875,207.8125,0.89,BQ1
1988-05-06,90.625,2.9850000000000003,2.183,157.5,0.8811111111111111,BQ1
1988-07-08,15.5,2.686923076923077,1.9523076923076923,63,0.7607692307692308,BQ1
1988-09-09,50.25,3.665,2.43875,140.55555555555554,0.7925,BQ1
1988-11-11,NA,4.15125,2.3722222222222222,153.625,0.8444444444444444,BQ1
1989-01-13,NA,4.293333333333333,2.783333333333333,130.11111111111111,0.9088888888888889,BQ1
1989-03-17,NA,4.444444444444445,2.738888888888889,141.88888888888889,0.8544444444444445,BQ1
1989-05-19,NA,4.5344444444444445,2.901111111111111,123,0.9477777777777777,BQ1
1989-07-21,NA,4.0625,2.6675,99.57142857142857,0.9275,BQ1
1989-09-22,NA,4.2,2.970833333333333,365,1.2953846153846154,BQ1
1989-11-24,NA,5.8566666666666665,3.2266666666666666,99,1.1466666666666667,BQ1
1990-01-26,NA,5.546666666666667,3.1666666666666665,211.375,1.2344444444444445,BQ1
1990-03-30,NA,4.312857142857143,2.5492857142857144,450.30769230769226,1.3628571428571428,BQ1
1990-06-01,NA,5.4944444444444445,3.2333333333333334,143.77777777777777,1.1555555555555554,BQ1
1990-08-03,NA,5.841111111111111,3.2688888888888887,80.83333333333334,0.8844444444444445,BQ1
1990-10-05,NA,4.603,2.832,108.5,1.007,BQ1
1990-12-07,NA,5.297,2.988,155.375,0.983,BQ1
1991-02-08,NA,5.701111111111111,3.16,70.66666666666667,0.8122222222222223,BQ1
1991-04-12,NA,5.176,2.9539999999999997,43.77777777777778,0.923,BQ1
1991-06-14,NA,5.622222222222223,3.3777777777777778,32.42857142857143,0.7644444444444445,BQ1
1991-08-16,NA,5.84,3.614,63.5,1.165,BQ1
1991-10-18,NA,4.1425,2.685833333333333,118.16666666666666,1.1483333333333334,BQ1
1991-12-20,NA,5.06,3.004,184.55555555555554,1.221,BQ1
1992-02-21,NA,6.308888888888889,3.578888888888889,79.75,1.1111111111111112,BQ1
1992-04-24,NA,4.303333333333334,2.59,57.125,1.031111111111111,BQ1
1992-06-26,NA,5.6066666666666665,3.2455555555555557,140.625,1.1466666666666667,BQ1
1992-08-28,NA,6.2,3.517777777777778,67.71428571428571,1.0655555555555556,BQ1
1992-10-30,NA,4.543333333333333,2.4955555555555557,33,0.9622222222222222,BQ1
1993-01-01,NA,4.975555555555555,3.181111111111111,20,1.1344444444444444,BQ1
1993-03-05,NA,5.795555555555556,3.671111111111111,137.11111111111111,1.1744444444444444,BQ1
1993-05-07,NA,5.611111111111111,3.2222222222222223,28.333333333333332,1.1577777777777778,BQ1
1993-07-09,NA,5.467777777777778,3.013333333333333,44.6,1.0033333333333334,BQ1
1993-09-10,NA,5.921111111111111,3.3266666666666667,28.333333333333332,1.1211111111111112,BQ1
1993-11-12,NA,5.688888888888889,3.1688888888888886,22.166666666666668,1.18,BQ1
1994-01-14,NA,5.302222222222222,2.951111111111111,13.5,1.0055555555555555,BQ1
1994-03-18,NA,6.14,3.347777777777778,65.66666666666667,1.051111111111111,BQ1
1994-05-20,NA,6.785,3.85,51.22222222222222,1.21,BQ1
1994-07-22,NA,6.015555555555555,3.398888888888889,NA,1.2377777777777779,BQ1
1994-09-23,NA,5.921111111111111,3.183333333333333,NA,1.12,BQ1
1994-11-25,NA,5.74,3.1375,109,1.09375,BQ1
1988-01-01,18.5,4.415555555555556,2.11,239.1875,0.8672222222222222,BQ2
1988-03-04,27.142857142857142,4.243333333333333,2.316666666666667,192.33333333333334,0.7833333333333333,BQ2
1988-05-06,74.42857142857143,3.587,2.1189999999999998,239.33333333333334,0.7969999999999999,BQ2
1988-07-08,14,3.446,2.0286666666666666,178.33333333333334,0.7846666666666666,BQ2
1988-09-09,47,4.55,2.37,205,0.77,BQ2
1988-11-11,NA,4.161111111111111,2.3633333333333333,220.66666666666666,0.8722222222222222,BQ2
1989-01-13,NA,4.592222222222222,2.52,232.8,0.9011111111111111,BQ2
1989-03-17,NA,4.467777777777778,2.8766666666666665,190.55555555555554,0.8766666666666667,BQ2
1989-05-19,NA,4.615555555555556,2.5166666666666666,166.66666666666666,0.9522222222222222,BQ2
1989-07-21,NA,4.9075,2.545,143.25,0.995,BQ2
1989-09-22,NA,5.4175,2.9316666666666666,419.1111111111111,1.4284615384615384,BQ2
1989-11-24,NA,6.613333333333333,3.1233333333333335,239.25,1.2066666666666666,BQ2
1990-01-26,NA,6.53,3.0522222222222224,188,1.3388888888888888,BQ2
1990-03-30,NA,5.1971428571428575,2.4907142857142857,466.7692307692308,1.3635714285714287,BQ2
1990-06-01,NA,6.776666666666666,3.2088888888888887,232.77777777777777,1.1311111111111112,BQ2
1990-08-03,NA,7.187777777777778,3.2244444444444444,121.11111111111113,0.9255555555555556,BQ2
1990-10-05,NA,5.773,2.712,164.7,0.901,BQ2
1990-12-07,NA,6.782,3.08,182.11111111111111,0.998,BQ2
1991-02-08,NA,6.815555555555555,2.953333333333333,151.75,0.8255555555555556,BQ2
1991-04-12,NA,4.025,2.834,35,1.0090000000000001,BQ2
1991-06-14,NA,5.316666666666666,3.201111111111111,81,0.9955555555555555,BQ2
1991-08-16,NA,6.027,2.9859999999999998,88.2,1.42,BQ2
1991-10-18,NA,4.571666666666666,2.6675,221.08333333333331,1.2725,BQ2
1991-12-20,NA,5.949,2.956,284.9,1.301,BQ2
1992-02-21,NA,5.852222222222222,3.121111111111111,88.125,1.1222222222222222,BQ2
1992-04-24,NA,5.24,2.482222222222222,124.875,1.2466666666666666,BQ2
1992-06-26,NA,6.88,3.26,108.22222222222223,1.23,BQ2
1992-08-28,NA,6.641111111111111,3.1655555555555557,49.125,1.2677777777777777,BQ2
1992-10-30,NA,5.694444444444445,2.6044444444444443,66.28571428571429,1.2144444444444444,BQ2
1993-01-01,NA,6.49,3.181111111111111,135,1.27,BQ2
1993-03-05,NA,6.347777777777778,3.243333333333333,144,1.3044444444444445,BQ2
1993-05-07,NA,6.171111111111111,2.9611111111111112,72.75,1.468888888888889,BQ2
1993-07-09,NA,7.205555555555556,3.1777777777777776,23.5,1.4122222222222223,BQ2
1993-09-10,NA,6.414444444444444,2.8533333333333335,55.33333333333333,1.33,BQ2
1993-11-12,NA,6.371111111111111,2.6155555555555554,56.66666666666667,1.4,BQ2
1994-01-14,NA,5.916666666666667,2.828888888888889,12.333333333333334,1.3533333333333333,BQ2
1994-03-18,NA,6.77,3.0566666666666666,30.166666666666664,1.2733333333333334,BQ2
1994-05-20,NA,6.51,3.11875,87.625,1.46125,BQ2
1994-07-22,NA,3.913333333333333,1.9333333333333331,NA,0.9500000000000001,BQ2
1994-09-23,NA,4.5125,2.125,NA,1.2125,BQ2
1994-11-25,NA,5.89375,2.7875,NA,1.1724999999999999,BQ2
1988-01-01,33.1764705882353,3.3953333333333333,2.556,165.4375,0.728,BQ3
1988-03-04,26.333333333333332,3.4766666666666666,2.6144444444444446,205.22222222222223,0.5555555555555556,BQ3
1988-05-06,59.57142857142857,2.613,2.339,196,0.688,BQ3
1988-07-08,28.6,2.710714285714286,2.2592857142857143,134.66666666666666,0.6328571428571429,BQ3
1988-09-09,41.75,3.33125,2.48875,168.25,0.6275,BQ3
1988-11-11,NA,3.815,2.66,191.33333333333334,0.7366666666666667,BQ3
1989-01-13,NA,3.801111111111111,2.8033333333333332,163.66666666666666,0.7688888888888888,BQ3
1989-03-17,NA,3.9033333333333333,2.7355555555555555,164.66666666666666,0.7344444444444445,BQ3
1989-05-19,NA,3.7533333333333334,2.8066666666666666,92.22222222222223,0.7511111111111111,BQ3
1989-07-21,NA,3.65125,2.41,155.875,0.8,BQ3
1989-09-22,NA,3.5933333333333333,3.2675,444.625,1.426153846153846,BQ3
1989-11-24,NA,5.1433333333333335,3.5666666666666664,218.625,1.268888888888889,BQ3
1990-01-26,NA,4.81,3.3755555555555556,381.77777777777777,1.4522222222222223,BQ3
1990-03-30,NA,3.6885714285714286,2.6742857142857144,352.3076923076923,1.3478571428571429,BQ3
1990-06-01,NA,4.614444444444445,3.3677777777777775,224.25,1.1855555555555555,BQ3
1990-08-03,NA,5.593333333333334,3.4522222222222223,151.77777777777777,0.9944444444444445,BQ3
1990-10-05,NA,5.102,2.934,155.11111111111111,0.9339999999999999,BQ3
1990-12-07,NA,4.6770000000000005,3.08,170.625,0.9460000000000001,BQ3
1991-02-08,NA,4.828888888888889,3.8455555555555554,160.22222222222223,0.7733333333333333,BQ3
1991-04-12,NA,4.237,3.23,51.75,0.897,BQ3
1991-06-14,NA,4.447777777777778,3.535555555555556,118.625,0.8588888888888889,BQ3
1991-08-16,NA,4.675,3.249,114.8,1.05,BQ3
1991-10-18,NA,3.7416666666666667,2.788333333333333,161.16666666666666,0.8883333333333333,BQ3
1991-12-20,NA,4.877,3.129,185.3,1.0050000000000001,BQ3
1992-02-21,NA,6.21,3.3511111111111114,127.375,1.12,BQ3
1992-04-24,NA,4.054444444444444,2.73,115,0.9355555555555556,BQ3
1992-06-26,NA,4.682222222222222,3.263333333333333,44.888888888888886,1.1411111111111112,BQ3
1992-08-28,NA,4.835555555555556,3.2177777777777776,56.33333333333333,0.8933333333333333,BQ3
1992-10-30,NA,4.528888888888889,3.2466666666666666,40.28571428571429,1.0977777777777777,BQ3
1993-01-01,NA,4.0377777777777775,3.0211111111111113,207,0.8122222222222223,BQ3
1993-03-05,NA,4.424444444444444,3.571111111111111,129.125,0.8122222222222222,BQ3
1993-05-07,NA,4.31625,3.0637499999999998,59,0.855,BQ3
1993-07-09,NA,4.687777777777778,2.95,102.83333333333334,0.8355555555555556,BQ3
1993-09-10,NA,4.526666666666666,3.0775,43.66666666666667,0.8044444444444444,BQ3
1993-11-12,NA,4.225555555555555,2.7577777777777777,32.333333333333336,0.8833333333333333,BQ3
1994-01-14,NA,4.366666666666666,2.973333333333333,11,0.8377777777777777,BQ3
1994-03-18,NA,5.066666666666666,3.3666666666666667,49,0.8622222222222222,BQ3
1994-05-20,NA,5.294,3.657,52.111111111111114,0.907,BQ3
1994-07-22,NA,4.98,3.522222222222222,NA,0.8433333333333334,BQ3
1994-09-23,NA,4.561111111111111,3.1544444444444446,NA,0.8644444444444445,BQ3
1994-11-25,NA,4.626666666666667,3.3833333333333333,NA,0.8733333333333334,BQ3
1988-01-01,NA,NA,NA,NA,NA,PRM
1988-03-04,NA,NA,NA,NA,NA,PRM
1988-05-06,NA,NA,NA,NA,NA,PRM
1988-07-08,NA,NA,NA,NA,NA,PRM
1988-09-09,NA,NA,NA,NA,NA,PRM
1988-11-11,NA,NA,NA,NA,NA,PRM
1989-01-13,NA,NA,NA,NA,NA,PRM
1989-03-17,NA,6.15,1.92,69,0.77,PRM
1989-05-19,NA,6.525,1.965,58.285714285714285,0.675,PRM
1989-07-21,NA,6.252857142857143,1.5783333333333334,73.71428571428571,0.6614285714285714,PRM
1989-09-22,NA,6.906,2.194,263.5,1.21,PRM
1989-11-24,NA,9.15375,2.5187500000000003,85.85714285714286,0.9,PRM
1990-01-26,NA,8.305,2.048888888888889,243.88888888888889,1.0855555555555556,PRM
1990-03-30,NA,9.503333333333334,2.207777777777778,130.11111111111111,0.9944444444444445,PRM
1990-06-01,NA,8.523333333333333,2.0355555555555553,175.66666666666666,0.9299999999999999,PRM
1990-08-03,NA,9.421111111111111,2.1055555555555556,128.88888888888889,0.8422222222222222,PRM
1990-10-05,NA,6.92,1.7955555555555556,142.125,0.7633333333333333,PRM
1990-12-07,NA,7.6322222222222225,2.25,139,0.6488888888888888,PRM
1991-02-08,NA,7.551428571428572,1.9975,105.57142857142857,0.92125,PRM
1991-04-12,NA,4.635,0.86875,52.22222222222222,0.77,PRM
1991-06-14,NA,6.26,1.96875,57.125,0.77375,PRM
1991-08-16,NA,8.877777777777778,2.4766666666666666,106,0.8388888888888889,PRM
1991-10-18,NA,5.67,1.77375,101.44444444444444,0.655,PRM
1991-12-20,NA,9.377777777777778,2.183333333333333,117.77777777777777,0.8244444444444444,PRM
1992-02-21,NA,9.365,2.7511111111111113,107.375,0.9188888888888889,PRM
1992-04-24,NA,7.101111111111111,1.7522222222222221,54.625,0.8366666666666667,PRM
1992-06-26,NA,8.5,2.1577777777777776,43.666666666666664,0.7933333333333333,PRM
1992-08-28,NA,10.154444444444444,2.4855555555555555,46.44444444444444,0.9,PRM
1992-10-30,NA,6.53125,1.5975,35.166666666666664,0.62,PRM
1993-01-01,NA,7.802222222222222,1.981111111111111,78,0.7222222222222222,PRM
1993-03-05,NA,9.028888888888888,2.3055555555555554,80.22222222222223,0.8533333333333334,PRM
1993-05-07,NA,8.234444444444444,2.051111111111111,55.33333333333333,0.8077777777777778,PRM
1993-07-09,NA,8.455,1.97375,50.75,0.8075,PRM
1993-09-10,NA,7.8822222222222225,1.9444444444444444,38.888888888888886,0.6866666666666666,PRM
1993-11-12,NA,6.6,1.5222222222222221,33.2,0.5988888888888889,PRM
1994-01-14,NA,8,1.8822222222222222,6.333333333333333,0.6366666666666667,PRM
1994-03-18,NA,9.256666666666666,2.1155555555555554,18.4,0.7588888888888888,PRM
1994-05-20,NA,8.94111111111111,2.3544444444444443,24.75,0.8277777777777777,PRM
1994-07-22,NA,9.212222222222222,2.428888888888889,179,0.8722222222222222,PRM
1994-09-23,NA,8.956666666666667,1.93,NA,0.7644444444444445,PRM
1994-11-25,NA,8.879999999999999,2.256666666666667,43,0.7111111111111111,PRM
